property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,builtup_area,study room,pooja room,store room,servant room,others,furnishing_type,facility_score
flat,dlf icon,sector 43,5.8,20707.0,4,4,3+,18.0,Old Property,D69982940,2801.0,0,0,0,0,0,0,0
house,vipul tatvam villa,sector 48,8.4,21000.0,4,5,3+,2.0,Moderately Old,K69830898,4000.0,1,1,0,1,0,2,49
flat,om appartments,sector 3 phase 2,0.4,4444.0,3,2,1,3.0,Relatively New,U66576982,1000.0,0,0,0,0,0,0,7
flat,ats marigold,sector 89,1.85,8604.0,3,3,3+,12.0,New Property,W69990716,1946.0,0,0,0,1,0,0,37
flat,sare crescent parc,sector 92,0.8,4210.0,4,3,2,10.0,Relatively New,G46888525,1719.0,0,0,0,0,1,0,37
flat,shree vardhman victoria,sector 70,1.15,8518.0,2,2,3,8.0,Relatively New,N69685680,1222.0,1,0,0,0,1,0,49
flat,experion the heartsong,sector 108,1.6,7988.0,3,4,3+,3.0,Relatively New,F62011836,1500.29,0,0,0,1,0,2,60
flat,the crew bos chs manesar,manesar,0.85,3695.0,3,3,2,2.0,Moderately Old,T68196706,2556.0,0,0,0,0,0,0,44
flat,microtek greenburg,sector 86,1.3,8756.0,2,2,3,10.0,Relatively New,R70169300,1339.0,1,0,0,0,0,0,38
flat,emaar emerald hills,sector 65,1.95,13928.0,3,3,3+,1.0,New Property,V69831504,1556.0,0,0,1,0,0,2,117
house,anamika enclave,sector 12,6.0,14492.0,9,9,3+,3.0,Old Property,U64211740,9000.0,0,0,0,0,0,0,9
house,godrej meridien,sector 106,5.6,14000.0,5,4,3+,33.0,New Property,V69168320,4000.0,1,1,1,1,0,0,151
flat,experion windchants,sector 112,5.6,11529.0,4,6,3+,15.0,Moderately Old,M69125272,3662.34,0,0,0,1,0,2,157
flat,experion windchants,sector 112,2.8,11470.0,2,3,2,9.0,Relatively New,X69596172,2441.0,1,0,0,1,0,0,137
flat,smriti apartment,sector 56,0.52,10666.0,1,1,1,1.0,Old Property,R54552000,475.0,0,0,0,0,0,0,34
house,independent,sector 28,11.75,41315.0,4,5,3+,4.0,Relatively New,F69427624,2844.0,1,0,1,1,0,2,54
flat,gls arawali homes,sohna road,0.3,5291.0,2,2,2,10.0,Relatively New,D64840654,516.0,0,0,0,0,0,0,42
house,dlf city plots phase 4,sector 28,9.54,29444.0,6,5,3+,3.0,New Property,V69808282,3240.0,1,1,1,1,0,0,153
house,independent,sector 45,10.0,30864.0,6,6,3+,4.0,Moderately Old,I63177352,3240.0,1,1,1,1,0,2,70
flat,emaar imperial gardens,sector 102,1.91,9550.0,3,4,2,17.0,Relatively New,T69732882,1587.0,1,0,0,1,0,2,152
flat,shapoorji pallonji joyville gurugram,sector 102,1.25,9876.0,2,2,2,0.0,Relatively New,U69125000,1100.0,0,0,0,0,0,0,79
flat,ramprastha the edge towers,sector 37d,1.1,5528.0,3,3,3,9.0,Relatively New,R68957042,1990.0,0,0,0,0,0,0,63
flat,umang winter hills,sector 77,1.4,6340.0,3,3,3,10.0,Relatively New,C68021494,1735.0,0,0,0,0,0,0,28
flat,mapsko mount ville,sector 79,1.2,8052.0,3,3,3,9.0,Relatively New,L69631492,1321.0,1,0,0,0,0,2,104
flat,vatika gurgaon,sector 83,0.78,6265.0,2,2,2,3.0,Relatively New,V68896848,850.0,1,1,0,0,0,2,165
flat,godrej habitat,sector 3,1.25,8656.0,2,2,3,14.0,Under Construction,X66557286,1161.0,0,0,0,0,0,0,36
flat,emaar mgf palm hills,sector 77,1.65,8461.0,4,3,3,9.0,Relatively New,S70076870,1765.0,0,0,0,1,0,0,100
flat,emaar imperial gardens,sector 102,1.98,9900.0,3,3,3+,9.0,Relatively New,M69068068,2222.0,0,0,0,1,0,2,72
house,independent,sector 26,13.5,29880.0,5,5,3+,2.0,Relatively New,T70094424,4518.0,1,1,0,1,1,1,49
flat,ss the leaf,sector 85,1.08,6585.0,2,2,3,8.0,New Property,K68761724,1200.0,1,1,1,1,0,2,157
flat,signature global synera,sector 81,0.31,7434.0,1,1,1,13.0,Relatively New,B69809430,366.0,0,0,0,0,0,1,123
flat,smart world gems,sector 89,0.95,8600.0,2,2,2,4.0,New Property,R69024308,1226.0,1,0,0,1,0,0,38
flat,pareena mi casa,sector 68,1.0,8163.0,2,2,2,16.0,New Property,V69551604,1361.0,0,0,0,1,0,0,65
flat,suncity avenue,sector 102,0.47,8928.0,2,2,1,5.0,Relatively New,J69785340,582.0,0,0,1,0,0,0,142
house,independent,sector 38,8.0,25616.0,10,10,3+,1.0,Relatively New,L69856040,3123.0,0,0,0,0,0,0,0
flat,dlf regency park,sector 28,1.24,12400.0,2,2,3+,19.0,Moderately Old,T69689326,1050.0,0,1,0,0,0,2,157
flat,bestech park view ananda,sector 81,0.87,7951.0,2,2,3,8.0,Relatively New,I63351906,1300.0,0,0,0,0,0,0,95
flat,bestech park view residency,sector 2,0.98,6932.0,2,2,3,11.0,Moderately Old,N68401428,1281.0,0,0,0,0,0,0,83
flat,rof ananda,sector 95,0.26,6032.0,1,1,1,8.0,New Property,I65325074,406.0,0,0,0,0,0,0,49
flat,ramprastha skyz,sector 37d,1.25,7250.0,3,3,3+,2.0,Under Construction,R68021756,1725.0,0,0,0,0,0,0,8
house,dlf city plots,sector 26,17.0,37627.0,5,6,3,2.0,Old Property,L69941792,4518.0,0,1,1,1,0,2,87
flat,godrej aria,sector 79,1.1,7772.0,2,2,3+,4.0,New Property,R68188116,1223.0,0,0,0,0,0,2,49
flat,orchid petals,sector 49,4.21,11835.0,5,6,3+,14.0,Relatively New,I70022598,3219.0,0,1,0,1,0,0,35
flat,ashiana mulberry,sohna road,0.74,6200.0,2,2,3+,12.0,New Property,K68771888,1344.0,0,0,0,0,0,0,67
flat,spaze privy,sector 72,3.1,6692.0,4,5,3+,8.0,Moderately Old,Z69235626,3374.0,1,1,1,1,0,0,136
flat,sbtl caladium,sector 109,1.2,6382.0,3,2,2,8.0,Relatively New,R68625608,1701.0,0,0,0,0,0,0,151
flat,bptp terra,sector 37d,1.65,7530.0,4,3,3+,6.0,Relatively New,E70094810,2091.0,0,0,0,0,0,2,149
flat,pyramid urban homes 2,sector 86,0.44,7321.0,2,2,2,6.0,Relatively New,V69085664,668.0,0,0,0,0,0,2,63
flat,greenopolis,sector 89,0.8,4820.0,2,3,3,8.0,Under Construction,W31384819,1502.0,1,0,0,0,1,0,60
flat,sare crescent parc,sector 92,0.82,5384.0,3,3,3+,12.0,Relatively New,T68022426,1523.0,0,0,0,0,0,0,0
flat,spaze privy,sector 72,1.9,9620.0,3,3,3,10.0,Relatively New,T69753598,1975.0,0,0,0,0,0,0,0
house,independent,sector 43,8.5,31481.0,5,5,3,3.0,Moderately Old,V68392090,2700.0,0,0,0,1,0,2,113
house,vatika india next,sector 82,6.5,20062.0,4,3,0,2.0,Relatively New,O68021412,3240.0,0,0,0,0,0,0,0
flat,vatika gurgaon,sector 83,0.84,6746.0,2,2,2,7.0,Moderately Old,D70152358,1127.0,0,0,0,0,0,2,157
flat,la vida by tata housing,sector 113,1.55,11654.0,2,2,3,2.0,New Property,Y68450358,1276.0,0,0,0,0,0,0,174
flat,sidhartha ncr greens,sector 95,0.96,6201.0,3,3,3,8.0,New Property,P61617128,1720.0,0,1,1,0,0,0,8
flat,green court,sector 90,0.4,6389.0,2,2,1,8.0,New Property,S64064452,575.0,0,0,0,0,0,0,20
house,ansal sushant lok plots,sector 43,11.5,17692.0,7,8,3+,3.0,Old Property,V69310762,9000.0,0,1,1,1,0,2,31
flat,breez global heights,sohna road,0.42,6420.0,2,2,2,2.0,New Property,B64902914,564.0,0,0,0,0,0,0,73
flat,bptp terra,sector 37d,1.75,7987.0,4,4,3,7.0,Relatively New,F69267096,2100.0,0,0,0,0,1,2,120
house,independent,sector 2,3.65,23442.0,3,9,3+,3.0,New Property,B69812818,1557.0,0,1,0,1,0,2,116
house,independent,sector 9,1.1,6111.0,4,3,1,2.0,Old Property,O27405853,200.0,0,0,0,0,0,0,0
flat,m3m one key resiments,sector 67,0.8,13115.0,1,1,0,0.0,Relatively New,G68560058,610.0,0,0,0,0,0,0,0
flat,birla navya,sector 63a,2.1,16666.0,2,2,2,2.0,Under Construction,K70051610,1400.0,0,0,0,0,0,0,38
flat,signature global solera,sector 107,0.38,6333.0,2,2,2,3.0,Relatively New,Q69135694,627.0,0,0,0,0,0,1,23
flat,la vida by tata housing,sector 113,1.5,11755.0,2,2,2,13.0,New Property,I68564410,1155.0,0,0,0,0,0,0,60
flat,capital residences 360,sector 70a,1.66,8400.0,3,3,3+,8.0,New Property,I70084254,1900.0,0,0,0,1,0,0,132
house,independent,sector 37d,1.16,7539.0,1,1,0,1.0,Relatively New,I67433976,1535.0,0,0,0,0,0,0,0
flat,bestech park view grand spa,sector 81,2.35,8834.0,3,4,3+,10.0,Relatively New,H69427448,2511.0,0,0,0,1,0,0,109
house,international city by sobha phase 2,sector 109,7.0,11240.0,5,5,3+,2.0,Relatively New,E70108668,6228.0,0,0,0,1,0,0,129
flat,raheja sampada,sector 92,0.7,4453.0,3,3,0,7.0,Relatively New,L67904536,1572.0,0,0,0,0,0,0,0
flat,tulip violet,sector 69,1.32,8411.0,3,3,1,12.0,Relatively New,F69429866,1419.0,0,1,0,0,0,0,86
flat,dlf regal gardens,sector 90,1.29,7103.0,3,3,3+,12.0,Relatively New,Z69685130,1817.0,0,0,0,1,0,0,152
flat,bestech park view sanskruti,sector 92,1.55,9687.0,3,3,3,17.0,Relatively New,A57683322,1792.0,0,0,0,1,0,2,60
flat,emaar mgf emerald floors premier,sector 65,2.8,14177.0,4,4,3,2.0,Relatively New,S63409022,2194.0,1,0,0,1,0,2,108
house,emaar mgf marbella,sector 66,18.0,40000.0,5,6,3+,3.0,Relatively New,X69714856,4500.0,1,1,1,1,0,1,153
flat,malibu towers,sector 47,2.45,10698.0,3,4,2,1.0,Old Property,O69735740,2544.0,1,0,0,0,0,2,42
flat,adani aangan arcade,sector 88a,0.45,7200.0,2,2,1,3.0,New Property,R66070700,694.0,0,0,0,0,0,0,14
flat,adani brahma samsara vilasa,sector 63,3.0,16666.0,3,3,3,3.0,New Property,U69481564,2000.0,0,0,0,0,0,0,24
flat,raheja vanya,sector 99a,0.59,3975.0,2,2,3,1.0,Under Construction,P60026372,1133.0,0,0,0,0,1,0,96
flat,paras dews,sector 106,1.5,6369.0,4,6,3+,11.0,Relatively New,O69996360,1535.0,0,0,0,1,0,0,174
flat,unitech greenwood city,sector 45,2.4,12346.0,3,3,2,1.0,New Property,G69464840,195.0,0,0,0,1,0,2,19
house,independent,sector 12,1.4,8702.0,2,2,1,2.0,Old Property,Y67853988,166.0,0,0,0,0,0,0,0
house,international city by sobha phase 2,sector 109,6.8,12593.0,4,5,3,2.0,Relatively New,P70106010,5400.0,0,0,0,1,0,0,49
flat,ramprastha the edge towers,sector 37d,1.0,5649.0,3,3,3+,13.0,Moderately Old,U68986472,1602.0,0,0,0,0,0,0,38
flat,godrej nature plus,sector 33,1.75,8768.0,3,3,0,2.0,Under Construction,S68634010,1996.0,0,0,0,0,0,0,56
flat,orris carnation residency,sector 85,0.55,5788.0,2,2,2,5.0,Relatively New,I64885268,1050.0,0,0,0,0,1,0,174
house,smart world gems,sector 89,1.25,8784.0,3,3,2,1.0,Under Construction,A68634320,1423.0,1,0,0,0,1,0,45
flat,bestech park view residency,sector 2,1.51,7890.0,3,4,3+,8.0,Moderately Old,Y70072328,1738.0,0,0,0,1,0,0,92
house,international city by sobha phase 2,sector 109,12.5,26670.0,5,6,3,3.0,Relatively New,I69923532,4500.0,1,1,1,1,0,0,63
flat,m3m sierra 68,sector 68,1.1,8986.0,2,2,3,1.0,Relatively New,P69235928,1150.0,0,0,0,0,0,2,127
flat,godrej aria,sector 79,1.3,8843.0,2,2,2,7.0,Relatively New,I69290950,1330.0,1,0,0,0,0,2,116
flat,dhoot time residency,sector 63,3.0,18271.0,3,3,3+,14.0,Relatively New,P69192318,1642.0,0,0,0,1,0,2,0
flat,umang monsoon breeze,sector 78,0.62,5004.0,2,2,1,7.0,Moderately Old,T69662316,1115.0,0,0,1,0,0,0,111
house,independent,sector 26,5.8,12837.0,4,4,3+,4.0,Old Property,U70115748,4518.0,0,0,0,0,0,0,38
flat,ramprasta awho,sector 95,0.92,5257.0,3,3,3+,13.0,New Property,O64571990,1750.0,0,0,0,0,0,0,0
house,independent,sector 12,0.7,6034.0,3,3,0,1.0,Relatively New,T53379380,1160.0,0,0,0,0,0,0,23
flat,dlf the primus,sector 82a,2.95,11451.0,4,5,3+,10.0,Relatively New,U70012350,2110.0,0,0,0,1,0,1,174
flat,mittal cosmos executive apartments,sector 2,0.75,6550.0,2,2,2,15.0,Old Property,K65460496,1100.0,0,0,0,0,0,2,42
house,independent,sector 2,5.0,15384.0,6,6,2,1.0,Moderately Old,G69905858,3611.0,0,0,0,0,0,0,0
house,independent,sector 50,12.5,40611.0,6,5,3,4.0,Moderately Old,Y64066178,3078.0,1,1,0,1,0,2,23
flat,supertech araville,sector 79,1.45,7455.0,3,3,3,3.0,Relatively New,U68283872,2161.0,0,0,0,0,0,0,0
flat,ansal sushant lok ci,sector 43,2.0,15151.0,3,3,2,1.0,Old Property,V68773394,1467.0,0,0,0,1,0,1,15
flat,tulip violet,sector 69,1.38,8972.0,3,3,1,12.0,Relatively New,N68450700,1709.0,0,0,0,0,0,0,174
house,malibu towne,sector 47,1.15,4646.0,3,3,3,2.0,Old Property,G70106720,275.0,0,0,0,0,0,2,33
flat,shree vardhman flora,sector 90,0.65,5000.0,2,2,2,12.0,Old Property,B68311072,1176.0,1,0,0,0,0,0,103
flat,dlf the skycourt,sector 86,1.54,9221.0,3,3,3+,15.0,Relatively New,E69657538,1780.0,0,0,0,1,0,0,174
house,independent,sector 7,1.16,11693.0,2,4,2,3.0,Moderately Old,N69560152,1102.0,0,0,0,0,1,0,39
flat,shree vardhman victoria,sector 70,1.55,7948.0,3,5,3,8.0,Relatively New,G70133410,1527.0,0,0,0,1,0,0,174
flat,bptp terra,sector 37d,1.98,9036.0,3,3,3+,12.0,New Property,Q70028830,1983.0,1,0,0,0,0,2,49
flat,breez global heights,sohna road,0.4,6694.0,2,2,2,7.0,Relatively New,F69060286,762.0,0,0,0,0,0,0,57
flat,tulip monsella,sector 53,7.4,33199.0,4,4,3,21.0,Under Construction,A66658898,2477.0,0,0,0,0,0,0,35
house,international city by sobha phase 2,sector 109,6.5,12037.0,4,4,3+,1.0,New Property,W69832586,5400.0,0,0,0,1,0,2,160
flat,mapsko mount ville,sector 79,1.2,13837.0,3,3,3,18.0,Relatively New,U69665010,1165.0,1,1,0,0,0,2,160
flat,ashiana mulberry,sohna road,0.95,6485.0,2,2,3+,3.0,New Property,J68379968,1175.97,1,0,0,0,0,0,89
house,independent,sector 46,5.5,23061.0,8,8,3+,3.0,Moderately Old,W70005554,2385.0,1,0,0,0,1,2,32
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,16454.0,2,2,2,10.0,Relatively New,T68619970,742.0,0,0,0,0,0,0,151
flat,antriksh heights,sector 84,0.73,6083.0,2,2,3+,4.0,Relatively New,K69055174,1026.0,1,1,1,0,0,0,158
flat,bestech altura,sector 79,2.55,9532.0,4,5,2,4.0,New Property,X69888856,2675.0,0,0,0,1,0,0,44
flat,pioneer araya,sector 62,7.56,18000.0,4,4,3+,23.0,Relatively New,I69408046,4200.0,0,1,0,1,0,2,87
flat,bestech park view grand spa,sector 81,2.2,8270.0,3,4,3+,8.0,Relatively New,R68344512,2481.0,0,0,0,1,0,2,165
flat,indiabulls centrum park,sector 103,1.9,5681.0,3,4,3+,10.0,Relatively New,D69120526,3716.0,1,1,0,1,1,2,49
flat,m3m heights,sector 65,2.1,16653.0,2,2,3,8.0,New Property,J69877808,1015.0,0,0,0,0,0,0,31
flat,dlf regal gardens,sector 90,1.3,7150.0,3,3,3+,7.0,Relatively New,L69622936,1700.0,0,0,0,0,0,0,141
flat,pareena mi casa,sector 68,1.7,8504.0,4,4,3,2.0,New Property,E68365074,1809.0,0,0,0,0,0,0,47
flat,eden landmark,manesar,0.5,3847.0,2,2,0,7.0,Under Construction,N24137865,1300.0,0,0,0,0,0,0,0
flat,spectrum centre,sector 82a,0.62,9538.0,1,1,0,6.0,Relatively New,C69239554,650.0,0,0,0,0,0,0,0
flat,dlf the ultima,sector 81,2.25,10699.0,3,3,3+,11.0,Relatively New,L69101800,1600.0,1,1,0,1,1,1,49
flat,denso haryana housing society,manesar,0.9,4308.0,3,3,3+,5.0,Moderately Old,U68196874,2321.0,0,0,0,1,0,0,7
flat,emaar mgf palm hills,sector 77,1.08,5400.0,3,4,3+,5.0,Relatively New,K69722888,1810.0,1,0,0,1,1,2,167
house,unitech espace,sector 50,10.3,31790.0,5,6,3+,3.0,Moderately Old,H69824454,3240.0,1,1,1,1,0,2,160
flat,vipul lavanya,sector 81,0.75,5966.0,2,2,2,7.0,Moderately Old,D69822664,1397.0,0,0,0,0,0,0,37
flat,parsvnath green ville,sector 48,1.6,8376.0,3,3,3+,8.0,Old Property,R69288018,1895.0,0,0,0,0,1,2,49
flat,bestech park view ananda,sector 81,1.45,8734.0,3,2,3+,3.0,Relatively New,A52657366,1352.0,0,0,0,0,1,0,45
flat,emaar mgf emerald floors premier,sector 65,2.7,16363.0,3,3,3,5.0,Relatively New,O69850120,1650.0,0,0,1,1,0,2,108
flat,dlf the ultima,sector 81,2.28,10841.0,3,3,3+,14.0,Relatively New,R69994518,1750.0,0,0,0,1,0,1,49
flat,residency grand,sector 52,5.0,7692.0,5,7,3+,1.0,Moderately Old,U36038313,5778.0,0,1,0,1,0,0,77
flat,ireo skyon,sector 60,2.65,13125.0,3,4,3+,7.0,Moderately Old,H68412308,2037.0,0,0,0,1,0,2,152
flat,krisumi waterfall residences,sector 36a,4.1,15500.0,3,4,3,30.0,New Property,N69444154,2820.0,1,0,0,0,0,1,49
flat,tulip leaf,sector 69,2.06,11386.0,3,3,3,16.0,Relatively New,B69392810,1640.0,0,0,0,0,0,0,49
house,vipul world,sector 48,3.35,5583.0,6,5,3+,3.0,Moderately Old,H67904184,6000.0,0,0,0,0,0,0,53
flat,m3m golfestate,sector 65,5.0,18518.0,3,3,3+,28.0,Relatively New,N69817180,2800.0,0,1,0,1,0,2,165
flat,tulip violet,sector 69,1.2,10909.0,2,3,0,0.0,Relatively New,W69926632,1100.0,0,0,0,0,0,0,54
flat,m3m skywalk,sector 74,2.25,13636.0,3,3,2,9.0,Relatively New,Z69139110,1938.0,0,0,0,1,0,2,174
flat,ireo skyon,sector 60,3.0,12484.0,3,3,3,5.0,Relatively New,O69439286,2400.0,0,0,0,1,0,2,174
flat,signature global park,sohna road,0.9,8035.0,3,2,2,2.0,Under Construction,E68637580,1014.0,0,0,0,0,0,0,144
flat,umang monsoon breeze,sector 78,0.69,5390.0,2,2,2,11.0,Moderately Old,K69682308,1422.0,0,0,0,0,0,0,60
flat,tulip violet,sector 69,1.9,9452.0,4,4,2,0.0,Relatively New,C69393158,1819.0,0,0,0,0,0,0,49
flat,hsiidc sidco aravali,manesar,0.9,3477.0,3,3,3,2.0,Old Property,L70035366,1900.0,0,0,0,1,0,1,21
house,ss hibiscus,sector 50,12.25,20940.0,5,7,3+,1.0,Relatively New,M69250532,5850.0,1,1,0,1,1,2,160
house,bptp visionnaire,sector 70a,5.4,20690.0,4,5,3+,3.0,Relatively New,H68309874,2610.0,1,1,1,1,0,2,136
flat,la vida by tata housing,sector 113,1.85,11716.0,3,2,2,7.0,New Property,F68295166,1429.0,0,0,0,0,0,0,13
house,independent,sector 7,0.27,12000.0,2,2,1,2.0,Moderately Old,Z57259810,225.0,0,0,0,0,0,0,12
flat,mvn athens,sohna road,0.27,5897.0,2,2,1,4.0,Relatively New,S68097944,509.0,0,0,0,0,1,2,35
flat,m3m merlin,sector 67,3.5,14583.0,3,4,3,17.0,Relatively New,H69409856,2225.0,0,0,1,1,0,2,167
flat,hcbs sports ville,sohna road,0.38,5067.0,2,2,2,9.0,Relatively New,O68368424,750.0,0,0,0,0,0,0,0
flat,corona gracieux,sector 76,1.46,5500.0,4,6,3+,8.0,New Property,M69166004,2398.0,0,0,0,1,0,0,58
flat,la vida by tata housing,sector 113,2.78,10334.0,3,4,3+,5.0,Relatively New,M68451874,2350.0,0,0,0,1,0,0,174
flat,shapoorji pallonji joyville gurugram,sector 102,1.05,11475.0,2,2,2,0.0,Under Construction,O68818592,1017.0,0,0,0,0,0,0,49
flat,la vida by tata housing,sector 113,1.38,12000.0,2,2,3,8.0,New Property,F68449364,1350.0,1,0,0,0,0,0,174
flat,la lagune,sector 54,6.75,21360.0,4,6,3+,11.0,Moderately Old,B66133960,2455.0,0,0,0,1,0,2,119
flat,raheja navodaya,sector 92,0.62,4807.0,2,2,2,5.0,New Property,B24118357,1498.0,0,0,0,0,0,0,0
flat,vipul lavanya,sector 81,1.28,7174.0,3,3,3,1.0,Moderately Old,H69882504,1982.0,0,1,0,1,0,2,49
flat,shree vardhman victoria,sector 70,1.07,7925.0,2,2,3,8.0,Relatively New,O69321428,1222.0,1,0,0,0,0,0,108
flat,emaar imperial gardens,sector 102,2.05,9876.0,3,4,3+,14.0,Relatively New,P68269824,2250.0,0,0,0,1,0,0,116
flat,conscient heritage max,sector 102,1.75,9062.0,3,4,3+,16.0,Relatively New,L59898308,1748.0,0,0,0,1,0,0,134
flat,mapsko royale ville,sector 82,1.22,7176.0,3,5,3+,10.0,Relatively New,K68544798,2000.0,0,1,0,1,0,2,76
flat,antriksh heights,sector 84,0.89,4370.0,3,3,3,8.0,Relatively New,D69973246,1833.0,0,1,0,0,0,0,67
flat,friends apartment,sector 52,2.0,8510.0,4,3,3,5.0,Moderately Old,Q69487782,2091.0,0,0,0,1,0,1,111
flat,cghs airport apartment,sector 47,1.65,7857.0,3,3,3,1.0,Old Property,A69847632,1906.0,0,0,0,0,1,2,136
flat,ild greens,sector 37c,0.78,5714.0,2,2,3,1.0,Moderately Old,H68779518,1068.1,0,0,0,0,0,2,103
flat,m3m heights,sector 65,2.78,15200.0,3,3,3,44.0,Relatively New,T69537078,1829.0,0,0,0,0,0,0,56
flat,pareena coban residences,sector 99a,1.3,6510.0,3,3,0,16.0,New Property,O68022476,1997.0,0,0,0,0,0,0,0
flat,umang winter hills,sector 77,0.71,5305.0,2,2,2,6.0,Relatively New,K68224474,1057.0,1,0,0,0,0,0,108
flat,sare green parc phase 3,sector 92,0.75,7142.0,3,2,2,3.0,New Property,B69104786,1298.0,0,0,0,0,0,0,121
house,huda plots,sector 56,2.95,20359.0,2,2,2,1.0,Moderately Old,P69594254,1449.0,0,0,0,0,0,0,31
house,independent,sector 13,9.0,11111.0,10,5,3+,4.0,Old Property,H63238820,8100.0,0,0,0,0,0,0,0
flat,ss the leaf,sector 85,2.13,7574.0,4,4,3,2.0,Relatively New,E70087294,2600.0,0,0,0,0,0,0,49
flat,dlf regency park,sector 28,1.91,16608.0,2,2,2,11.0,New Property,B68992854,1278.0,0,0,0,0,0,1,98
flat,ambience creacions,sector 22,4.3,13915.0,3,4,3+,6.0,Relatively New,B69960750,2600.0,0,0,0,1,1,1,120
flat,ats tourmaline,sector 109,1.75,10000.0,3,3,3,4.0,New Property,R67560124,1466.0,0,0,0,0,0,0,31
house,independent,sector 3,3.5,9210.0,1,1,0,1.0,Moderately Old,Z67766806,3800.0,0,0,0,0,0,0,0
flat,ansal heights 86,sector 86,0.78,5735.0,2,2,2,8.0,New Property,K57098890,1360.0,0,0,0,0,0,0,72
flat,ansal maple heights,sector 43,1.5,12658.0,3,3,3+,7.0,Old Property,H69801220,1385.0,0,0,1,0,0,2,174
flat,dlf new town heights,sector 91,2.0,6967.0,4,4,3+,16.0,Moderately Old,K47366137,2468.0,1,1,0,1,0,0,65
flat,dlf new town heights,sector 90,1.55,6556.0,4,4,3+,1.0,Relatively New,P44401719,2139.0,0,1,0,1,0,0,81
house,international city by sobha phase 2,sector 109,10.0,27778.0,4,5,3+,2.0,New Property,D67028538,3600.0,1,1,0,1,1,2,49
flat,deepak minda,manesar,1.2,4528.0,3,3,3+,6.0,Moderately Old,X68196798,2944.0,0,0,0,1,0,0,7
flat,chd avenue,sector 71,1.35,5744.0,4,4,3,8.0,Moderately Old,W69335304,2127.0,0,0,0,1,0,0,26
flat,shree balaji appartment,sector 33,0.4,5000.0,2,2,2,1.0,Relatively New,N59277376,724.0,0,0,0,0,0,1,0
flat,umang monsoon breeze,sector 78,1.15,5284.0,3,3,3,9.0,Moderately Old,A68942872,1969.0,0,0,0,1,1,0,22
